case_id,method_id,display_name,family,tile_size,clip_limit,runtime_ms,mean,std,entropy,spread_1_99,high_frequency_share,mean_gradient,clipped_pixel_ratio
tun,hf_tone_baseline,HF + Tone Baseline,baseline,,,3223.560000000001,103.90928522745769,51.35361568813983,7.491683185311051,229.0,0.44094642910289533,48.67982556296147,0.013427734375
page,hf_tone_baseline,HF + Tone Baseline,baseline,,,6873.407500000003,150.5962379032258,47.97602959484389,7.02705107489445,243.0,0.19365774057475843,31.998642636541252,0.054104838709677416
seat,hf_tone_baseline,HF + Tone Baseline,baseline,,,6075.252100000003,97.72176354166666,62.49877679714956,7.70305395563514,242.0,0.7976884156314963,88.42518038918698,0.054572395833333336
pillar,hf_tone_baseline,HF + Tone Baseline,baseline,,,7454.7948000000015,117.2844828125,51.6699345832941,7.203013850893055,243.0,0.697974733371218,60.53968189004535,0.05621822916666667
markers,hf_tone_baseline,HF + Tone Baseline,baseline,,,5805.800400000003,106.9372125,59.815930356356674,7.742039777129195,235.0,0.7570987131198887,89.8578329077552,0.041767708333333334
cardboard,hf_tone_baseline,HF + Tone Baseline,baseline,,,6075.294,114.48585833333334,41.32491036505622,6.934642464537078,238.0,0.4041815563846367,32.4542670310511,0.0293875
carpet,hf_tone_baseline,HF + Tone Baseline,baseline,,,6697.049300000003,117.39073385416667,45.51567499537247,7.363996480965197,237.0,0.7039078960031457,58.57265638077099,0.0217390625
writing,hf_tone_baseline,HF + Tone Baseline,baseline,,,6128.9583000000075,157.54523072916666,43.881652178685556,6.9436054451135965,175.0,0.05837343151916452,8.658959370031123,0.010772395833333333
tun,ahe_t16,AHE 16x16,ahe,16,,1064.0913000000012,134.73710759480795,69.01045240746821,7.955060332334066,250.0,0.15067263155310698,52.38039582952969,0.042933146158854164
page,ahe_t16,AHE 16x16,ahe,16,,1712.5649999999978,131.35142809139785,70.59152611647158,7.987592374517179,249.0,0.22241908934872073,71.7912891062428,0.03662970430107527
seat,ahe_t16,AHE 16x16,ahe,16,,2781.478100000001,135.692925,71.46512938100913,7.985981472543631,250.0,0.504596098348936,90.81519789798926,0.041567708333333335
pillar,ahe_t16,AHE 16x16,ahe,16,,1918.753499999994,146.94842760416665,71.17487498654627,7.944323053922747,249.0,0.5095057356901418,92.39930377458795,0.0489328125
markers,ahe_t16,AHE 16x16,ahe,16,,2117.887599999989,131.73350364583334,71.48448594804131,7.985365653200456,252.0,0.4208189275233996,82.61207114566224,0.0421578125
cardboard,ahe_t16,AHE 16x16,ahe,16,,1898.3953999999983,137.76496197916666,69.11211585279092,7.971525995047857,248.0,0.3352814195946692,72.712381607239,0.031972395833333334
carpet,ahe_t16,AHE 16x16,ahe,16,,2024.7760999999969,136.05304895833333,69.82247115733122,7.948139010042539,251.0,0.3900696641714253,79.32400217110589,0.0502375
writing,ahe_t16,AHE 16x16,ahe,16,,2568.4876000000118,162.49409322916668,58.94699450305665,7.695785016784184,242.0,0.1057665056023382,28.717675750078282,0.064425
tun,ahe_t32,AHE 32x32,ahe,32,,466.13759999999616,133.11398442586264,68.79349180054707,7.957173577309965,250.0,0.11893310795733746,45.3554478488468,0.04107793172200521
page,ahe_t32,AHE 32x32,ahe,32,,1068.6869999999972,130.68012836021506,70.91879696844317,7.9874051854746915,250.0,0.20422471796912786,66.56395728068858,0.03688104838709677
seat,ahe_t32,AHE 32x32,ahe,32,,991.9711999999947,134.34085,70.4613853352376,7.982722300829905,249.0,0.48961658422771426,86.79863651605534,0.0357453125
pillar,ahe_t32,AHE 32x32,ahe,32,,1003.897600000002,143.175878125,67.14918260244733,7.935860394853325,248.0,0.48635754828329153,84.40182298474944,0.03241197916666667
markers,ahe_t32,AHE 32x32,ahe,32,,1063.4668999999944,131.12285416666666,71.9166811866023,7.990151111723983,251.0,0.3743148176643974,77.23174358605146,0.045046875
cardboard,ahe_t32,AHE 32x32,ahe,32,,982.5591999999972,135.45714166666667,68.42710163497546,7.969876015095048,247.0,0.2548967464161192,60.8151083307829,0.0308515625
carpet,ahe_t32,AHE 32x32,ahe,32,,1237.6002999999969,134.17471979166666,67.86577143427606,7.936269201040703,250.0,0.32928404443835557,69.1443222693308,0.04497552083333333
writing,ahe_t32,AHE 32x32,ahe,32,,1362.3066000000108,149.33779947916668,49.94798438491831,7.590729700072281,241.0,0.08648772112294771,20.517445487819327,0.022460416666666667
tun,ahe_t64,AHE 64x64,ahe,64,,344.99199999999064,132.16035842895508,67.478270172274,7.945661155009153,249.0,0.09768040398947783,39.56507088535542,0.037073771158854164
page,ahe_t64,AHE 64x64,ahe,64,,795.1795000000175,130.22444623655915,68.7757768506745,7.964329933249697,249.0,0.1906387081854151,61.31803520436576,0.03251814516129032
seat,ahe_t64,AHE 64x64,ahe,64,,872.0590000000072,133.33126979166667,68.66091549473491,7.9737955513315155,247.0,0.4752838110334729,81.69505810766404,0.029035416666666668
pillar,ahe_t64,AHE 64x64,ahe,64,,801.7892999999958,138.69713125,62.486391432617346,7.891100245368596,245.0,0.42957804844616565,72.6594400082538,0.022159895833333332
markers,ahe_t64,AHE 64x64,ahe,64,,1164.9854000000062,130.72361354166668,71.56496074448013,7.989606313819269,251.0,0.34551697021972977,73.26463200004274,0.043758854166666666
cardboard,ahe_t64,AHE 64x64,ahe,64,,995.225199999993,133.2920875,67.15485974205943,7.962754917698824,247.0,0.19190383985101478,50.041307902715204,0.028550520833333332
carpet,ahe_t64,AHE 64x64,ahe,64,,851.6137999999955,132.5762234375,65.14485493392843,7.902682298723007,248.0,0.26643347027995246,57.99057611954524,0.03897864583333333
writing,ahe_t64,AHE 64x64,ahe,64,,947.1793000000162,140.5222234375,42.42003232645113,7.300646117226884,234.0,0.06282628984237727,13.414683426421771,0.010991145833333334
tun,clahe_t16_c001,CLAHE 16x16 clip=0.01,clahe,16,0.01,1442.1693999999832,72.7853609720866,72.21751035985027,7.240351785875166,253.0,0.031605095524433136,19.54853538374474,0.0985730489095052
page,clahe_t16_c001,CLAHE 16x16 clip=0.01,clahe,16,0.01,2119.136200000014,166.88965389784946,57.81129590854055,7.560653179027137,247.0,0.051518346508599766,27.10706346644217,0.09534610215053764
seat,clahe_t16_c001,CLAHE 16x16 clip=0.01,clahe,16,0.01,2593.5998999999865,99.04160104166667,67.63458157305081,7.795082271670768,247.0,0.21321341503455743,47.70003898104116,0.022244270833333333
pillar,clahe_t16_c001,CLAHE 16x16 clip=0.01,clahe,16,0.01,3292.2038000000102,108.86921666666667,78.96093630641919,7.484163615784443,242.0,0.0493249255780063,24.600530162243,0.036395833333333336
markers,clahe_t16_c001,CLAHE 16x16 clip=0.01,clahe,16,0.01,3145.4426999999896,103.30590416666666,56.46832165706552,7.578958306315747,232.0,0.0917801674175398,28.700426921821254,0.025297395833333333
cardboard,clahe_t16_c001,CLAHE 16x16 clip=0.01,clahe,16,0.01,3140.3724000000184,142.6632140625,63.48911429596785,7.77454381076924,241.0,0.03225364725625397,15.968094549758147,0.018894791666666667
carpet,clahe_t16_c001,CLAHE 16x16 clip=0.01,clahe,16,0.01,3656.390600000009,112.64132708333334,67.92510354234912,7.58810683420819,243.0,0.03979477070271387,20.48423987621223,0.07449427083333333
writing,clahe_t16_c001,CLAHE 16x16 clip=0.01,clahe,16,0.01,3150.369699999999,121.4053984375,66.14041630723511,7.675156068953585,237.0,0.0017431250359373402,2.293618797182035,0.012133854166666666
tun,clahe_t16_c003,CLAHE 16x16 clip=0.03,clahe,16,0.03,1166.8788000000063,99.69048436482747,70.85878452778753,7.76469045604251,249.0,0.08952080771408133,36.41525453379851,0.041950225830078125
page,clahe_t16_c003,CLAHE 16x16 clip=0.03,clahe,16,0.03,2312.988300000001,143.835688844086,61.81832784123149,7.877133367951283,247.0,0.16747335670696917,53.69662501370838,0.028084005376344087
seat,clahe_t16_c003,CLAHE 16x16 clip=0.03,clahe,16,0.03,2628.9150000000063,105.55097916666666,72.2865174732898,7.883786466951315,246.0,0.40604004281778466,74.71494782534775,0.023983333333333332
pillar,clahe_t16_c003,CLAHE 16x16 clip=0.03,clahe,16,0.03,3144.9638999999934,94.6974265625,63.820409947581965,7.5837998794404875,235.0,0.3021519574333093,52.50317158275612,0.008007291666666666
markers,clahe_t16_c003,CLAHE 16x16 clip=0.03,clahe,16,0.03,2336.064399999998,117.047425,63.06918277140355,7.875100999896491,246.0,0.3401198490203482,63.36086517576181,0.022343229166666666
cardboard,clahe_t16_c003,CLAHE 16x16 clip=0.03,clahe,16,0.03,2970.2403000000004,153.86776458333333,62.83353865110239,7.820805657088355,242.0,0.0858557206717029,30.98118104312303,0.030686458333333333
