case_id,method_id,display_name,family,tile_size,clip_limit,runtime_ms,mse,psnr,ssim
uneven,homomorphic_synthetic_baseline,Homomorphic Synthetic Baseline,baseline,,,58.429700000004914,804.5081024169922,19.075499385145648,0.9620006955924417
vertical,homomorphic_synthetic_baseline,Homomorphic Synthetic Baseline,baseline,,,90.80840000000023,1263.0111541748047,17.11673174861133,0.9444080808843544
rotated,homomorphic_synthetic_baseline,Homomorphic Synthetic Baseline,baseline,,,62.36379999999997,804.5081024169922,19.075499385145648,0.9620006955924417
sine,homomorphic_synthetic_baseline,Homomorphic Synthetic Baseline,baseline,,,68.24930000000506,1528.7676849365234,16.287388668327782,0.8837617899532929
uneven,ahe_t16,AHE 16x16,ahe,16,,101.2763000000092,5326.587799072266,10.866312709002049,0.33319176271585754
vertical,ahe_t16,AHE 16x16,ahe,16,,109.10379999999975,4914.716567993164,11.215818837670772,0.35234627498422133
rotated,ahe_t16,AHE 16x16,ahe,16,,76.62340000000256,5326.587799072266,10.866312709002049,0.33319176271585754
sine,ahe_t16,AHE 16x16,ahe,16,,82.79810000000509,5177.64567565918,10.989480340373483,0.37172664921044285
uneven,ahe_t32,AHE 32x32,ahe,32,,45.239899999998556,4446.6983642578125,11.650426901959799,0.39671173731384557
vertical,ahe_t32,AHE 32x32,ahe,32,,37.76350000001116,4292.236053466797,11.803967626953773,0.4411629572387638
rotated,ahe_t32,AHE 32x32,ahe,32,,54.869899999999916,4446.6983642578125,11.650426901959799,0.39671173731384557
sine,ahe_t32,AHE 32x32,ahe,32,,180.97339999999917,4658.446380615234,11.448392598058536,0.45780781762895184
uneven,ahe_t64,AHE 64x64,ahe,64,,22.4994999999808,3039.5341033935547,13.302733403616154,0.5040910691675508
vertical,ahe_t64,AHE 64x64,ahe,64,,42.05140000001961,3258.7494049072266,13.000293959997048,0.5663452220099834
rotated,ahe_t64,AHE 64x64,ahe,64,,36.989199999993616,3039.5341033935547,13.302733403616154,0.5040910691675508
sine,ahe_t64,AHE 64x64,ahe,64,,29.339399999997795,3413.9842681884766,12.798188453354394,0.5742408767244322
uneven,clahe_t16_c001,CLAHE 16x16 clip=0.01,clahe,16,0.01,73.98939999998788,1390.9073028564453,16.69782173506632,0.8731095162467918
vertical,clahe_t16_c001,CLAHE 16x16 clip=0.01,clahe,16,0.01,101.01880000001984,2027.2633666992188,15.061701882606151,0.8543947614484201
rotated,clahe_t16_c001,CLAHE 16x16 clip=0.01,clahe,16,0.01,272.08430000001727,1390.9073028564453,16.69782173506632,0.8731095162467918
sine,clahe_t16_c001,CLAHE 16x16 clip=0.01,clahe,16,0.01,81.44110000000637,1580.9982147216797,16.141489813449112,0.8612013577827936
uneven,clahe_t16_c003,CLAHE 16x16 clip=0.03,clahe,16,0.03,79.36789999999405,1233.8922576904297,17.218031217001577,0.5995739158287456
vertical,clahe_t16_c003,CLAHE 16x16 clip=0.03,clahe,16,0.03,89.11719999997558,1394.4538879394531,16.686762033591055,0.6106498239560634
rotated,clahe_t16_c003,CLAHE 16x16 clip=0.03,clahe,16,0.03,83.46439999999689,1233.8922576904297,17.218031217001577,0.5995739158287456
sine,clahe_t16_c003,CLAHE 16x16 clip=0.03,clahe,16,0.03,83.64730000002396,1312.7274932861328,16.94905779824207,0.6479358056233137
uneven,clahe_t32_c001,CLAHE 32x32 clip=0.01,clahe,32,0.01,27.77209999999286,1057.3007354736328,17.888818265594345,0.8598649228085332
vertical,clahe_t32_c001,CLAHE 32x32 clip=0.01,clahe,32,0.01,46.75919999999678,1686.1025085449219,15.86196386343071,0.8404528104967783
rotated,clahe_t32_c001,CLAHE 32x32 clip=0.01,clahe,32,0.01,24.226800000008097,1057.3007354736328,17.888818265594345,0.8598649228085332
sine,clahe_t32_c001,CLAHE 32x32 clip=0.01,clahe,32,0.01,63.70899999998869,1517.2357635498047,16.32027289736395,0.8555313485790751
uneven,clahe_t32_c003,CLAHE 32x32 clip=0.03,clahe,32,0.03,22.111999999992804,1492.1344604492188,16.3927240046587,0.5945954056356083
vertical,clahe_t32_c003,CLAHE 32x32 clip=0.03,clahe,32,0.03,34.978100000017776,1921.9659423828125,15.2933467325144,0.6057086578215305
rotated,clahe_t32_c003,CLAHE 32x32 clip=0.03,clahe,32,0.03,31.44919999999729,1492.1344604492188,16.3927240046587,0.5945954056356083
sine,clahe_t32_c003,CLAHE 32x32 clip=0.03,clahe,32,0.03,32.61399999999526,2188.396194458008,14.729544099842503,0.6245079910179545
uneven,clahe_t64_c001,CLAHE 64x64 clip=0.01,clahe,64,0.01,21.43239999998059,971.073974609375,18.25828045953785,0.8714797719787519
vertical,clahe_t64_c001,CLAHE 64x64 clip=0.01,clahe,64,0.01,20.911899999987327,1582.2154541015625,16.13814738750336,0.8477519672302255
rotated,clahe_t64_c001,CLAHE 64x64 clip=0.01,clahe,64,0.01,33.46879999998009,971.073974609375,18.25828045953785,0.8714797719787519
sine,clahe_t64_c001,CLAHE 64x64 clip=0.01,clahe,64,0.01,54.53869999996641,1878.2147979736328,15.39335102948325,0.8388486877721257
uneven,clahe_t64_c003,CLAHE 64x64 clip=0.03,clahe,64,0.03,17.154500000003736,1585.202392578125,16.129956417157928,0.6249216238857498
vertical,clahe_t64_c003,CLAHE 64x64 clip=0.03,clahe,64,0.03,48.7922000000367,2264.2225952148438,14.581612408598684,0.6300342368212585
rotated,clahe_t64_c003,CLAHE 64x64 clip=0.03,clahe,64,0.03,38.16999999997961,1585.202392578125,16.129956417157928,0.6249216238857498
sine,clahe_t64_c003,CLAHE 64x64 clip=0.03,clahe,64,0.03,34.139299999992545,2309.1373901367188,14.496305873257281,0.6741482038572172
uneven,clahe_t16_c001_boosted,CLAHE 16x16 clip=0.01 + High Boost,boosted_local,16,0.01,72.0293999999626,1638.3204650878906,15.986815045872325,0.7788647227925322
vertical,clahe_t16_c001_boosted,CLAHE 16x16 clip=0.01 + High Boost,boosted_local,16,0.01,61.34229999997842,2281.217758178711,14.549136171688506,0.7705165194106586
rotated,clahe_t16_c001_boosted,CLAHE 16x16 clip=0.01 + High Boost,boosted_local,16,0.01,54.43069999995487,1638.3204650878906,15.986815045872325,0.7788647227925322
sine,clahe_t16_c001_boosted,CLAHE 16x16 clip=0.01 + High Boost,boosted_local,16,0.01,71.1545000000342,1672.8651885986328,15.896194170404527,0.8007897395367957
