dataset,method_id,method_display_name,model_id,num_lines,corpus_cer,corpus_wer,total_preprocess_runtime_ms,avg_preprocess_runtime_ms,avg_ocr_runtime_ms
all,original,Original,microsoft/trocr-large-handwritten,38,0.12202562538133008,0.39436619718309857,884.2335999999912,23.269305263157662,518.1869631578953
all,hf_tone,HF + Tone (Gray),microsoft/trocr-large-handwritten,38,0.12324588163514338,0.40492957746478875,25084.93019999998,660.1297421052626,528.0898999999995
all,hsi_color,HSI HF + Tone,microsoft/trocr-large-handwritten,38,0.12446613788895668,0.4119718309859155,31041.308199999945,816.8765315789459,520.3620973684211
all,sauvola,Sauvola,microsoft/trocr-large-handwritten,38,0.12324588163514338,0.4014084507042254,3879.524499999931,102.09274999999818,538.7720263157903
all,zerodcepp,Zero-DCE++,microsoft/trocr-large-handwritten,38,0.11348383160463697,0.38028169014084506,435633.30899999995,11464.03444736842,506.60687894736685
all,retinexnet,RetinexNet,microsoft/trocr-large-handwritten,38,0.11043319097010372,0.36971830985915494,664280.4558000002,17481.064626315794,9714.683928947366
writing_jpeg,original,Original,microsoft/trocr-large-handwritten,8,0.34532374100719426,0.9047619047619048,394.75519999999165,49.344399999998956,363.97748750000056
writing_jpeg,hf_tone,HF + Tone (Gray),microsoft/trocr-large-handwritten,8,0.20863309352517986,0.5714285714285714,17057.59279999995,2132.199099999994,345.78323749999913
writing_jpeg,hsi_color,HSI HF + Tone,microsoft/trocr-large-handwritten,8,0.2446043165467626,0.6666666666666666,21153.26959999993,2644.1586999999913,343.19284999999763
writing_jpeg,sauvola,Sauvola,microsoft/trocr-large-handwritten,8,0.2014388489208633,0.6190476190476191,2727.5872000000163,340.94840000000204,319.9702625000018
writing_jpeg,zerodcepp,Zero-DCE++,microsoft/trocr-large-handwritten,8,0.2158273381294964,0.7619047619047619,4597.217600000022,574.6522000000027,326.1770999999989
writing_jpeg,retinexnet,RetinexNet,microsoft/trocr-large-handwritten,8,0.2517985611510791,0.7619047619047619,304171.29199999996,38021.411499999995,25033.238537500027
bentham,original,Original,microsoft/trocr-large-handwritten,30,0.10133333333333333,0.35361216730038025,489.47839999999945,16.315946666666648,559.3094900000003
bentham,hf_tone,HF + Tone (Gray),microsoft/trocr-large-handwritten,30,0.11533333333333333,0.3916349809885932,8027.337400000029,267.5779133333343,576.7050099999996
bentham,hsi_color,HSI HF + Tone,microsoft/trocr-large-handwritten,30,0.11333333333333333,0.3916349809885932,9888.038600000014,329.60128666666714,567.6072300000008
bentham,sauvola,Sauvola,microsoft/trocr-large-handwritten,30,0.116,0.3840304182509506,1151.937299999915,38.39790999999717,597.1191633333339
bentham,zerodcepp,Zero-DCE++,microsoft/trocr-large-handwritten,30,0.104,0.34980988593155893,431036.09139999986,14367.869713333328,554.721486666665
bentham,retinexnet,RetinexNet,microsoft/trocr-large-handwritten,30,0.09733333333333333,0.33840304182509506,360109.1638000005,12003.63879333335,5629.736033333322
